Name,Description,Type,Unit
Filename,Accelerometer file name. Not for public display,string,N/A
Filesize(MB),Accelerometer file size,integer,Megabytes
Device,Accelerometer device type,string,N/A
DeviceID,Accelerometer device ID,integer,N/A
ActiNetVersion,Version of ActiNet package used,string,N/A
ActiNetArgs,Dictionary of arguments input to ActiNet deployment,dict,N/A
ReadErrors,Number of read errors,integer,count
SampleRate,Sampling rate of the accelerometer data,numeric,Hz
ReadOk,Whether data was successfully read,boolean,N/A
StartTime,Accelerometer start time,string,N/A
EndTime,Accelerometer end time,string,N/A
"FirstDay(0=mon,6=sun)","Accelerometer start day (0=mon, 6=sun)",integer,N/A
NumTicks,Total number of tri-axial accelerometer readings,integer,count
WearTime(days),Estimated total wear time,numeric,days  
DataSpan(days),Time span between first and last timestamp in data index,numeric,days
NumInterrupts,Number of interrupts in data,integer,count
Covers24hOK,Whether device wear covers all 24 hours in the day,boolean,N/A
CalibNumSamples,Number of static points used for accelerometer calibration,integer,count
CalibErrorBefore(mg),Accelerometer miscalibration error before calibration,numeric,milligravity
CalibErrorAfter(mg),Accelerometer miscalibration error after calibration,numeric,milligravity
CalibNumIters,Number of iterations for calibration,integer,count
CalibOk,Whether accelerometer calibration was successful,boolean,N/A
NonwearTime(days),Total non-wear time,numeric,days
NumNonwearEpisodes,Number of non-wear episodes,integer,count
ResampleRate,Resampling frequency of accelerometer data,numeric,Hz
WearStartTime,Timestamp of the first valid accelerometer reading,string,N/A
WearEndTime,Timestamp of the last valid accelerometer reading,string,N/A
day0-recorded-wearTime(hrs),Accelerometer wear time (day 0),numeric,hour
day0-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 0),numeric,hour
day0-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 0),numeric,hour
day0-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 0),numeric,hour
day0-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 0),numeric,hour
day0-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 0),numeric,hour
day0-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 0),numeric,hour
day1-recorded-wearTime(hrs),Accelerometer wear time (day 1),numeric,hour
day1-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 1),numeric,hour
day1-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 1),numeric,hour
day1-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 1),numeric,hour
day1-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 1),numeric,hour
day1-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 1),numeric,hour
day1-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 1),numeric,hour
day2-recorded-wearTime(hrs),Accelerometer wear time (day 2),numeric,hour
day2-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 2),numeric,hour
day2-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 2),numeric,hour
day2-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 2),numeric,hour
day2-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 2),numeric,hour
day2-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 2),numeric,hour
day2-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 2),numeric,hour
day3-recorded-wearTime(hrs),Accelerometer wear time (day 3),numeric,hour
day3-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 3),numeric,hour
day3-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 3),numeric,hour
day3-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 3),numeric,hour
day3-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 3),numeric,hour
day3-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 3),numeric,hour
day3-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 3),numeric,hour
day4-recorded-wearTime(hrs),Accelerometer wear time (day 4),numeric,hour
day4-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 4),numeric,hour
day4-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 4),numeric,hour
day4-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 4),numeric,hour
day4-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 4),numeric,hour
day4-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 4),numeric,hour
day4-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 4),numeric,hour
day5-recorded-wearTime(hrs),Accelerometer wear time (day 5),numeric,hour
day5-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 5),numeric,hour
day5-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 5),numeric,hour
day5-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 5),numeric,hour
day5-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 5),numeric,hour
day5-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 5),numeric,hour
day5-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 5),numeric,hour
day6-recorded-wearTime(hrs),Accelerometer wear time (day 6),numeric,hour
day6-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 6),numeric,hour
day6-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 6),numeric,hour
day6-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 6),numeric,hour
day6-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 6),numeric,hour
day6-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 6),numeric,hour
day6-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 6),numeric,hour
day7-recorded-wearTime(hrs),Accelerometer wear time (day 7),numeric,hour
day7-recorded-cutPointMVPA(hrs),Accelerometer-derived cut-point-based moderate-vigorous physical activity duration (day 7),numeric,hour
day7-recorded-cutPointVPA(hrs),Accelerometer-derived cut-point-based vigorous physical activity duration (day 7),numeric,hour
day7-recorded-light(hrs),Accelerometer-derived light physical activity duration (day 7),numeric,hour
day7-recorded-moderate-vigorous(hrs),Accelerometer-derived moderate-vigorous physical activity duration (day 7),numeric,hour
day7-recorded-sedentary(hrs),Accelerometer-derived sedentary behaviour duration (day 7),numeric,hour
day7-recorded-sleep(hrs),Accelerometer-derived sleep duration (day 7),numeric,hour
acc-overall-avg,Acceleration overall average,numeric,milligravity
acc-overall-sd,Acceleration overall variation,numeric,milligravity
wearTime-overall-avg,Accelerometer wear time overall proportion average,numeric,proportion of time
wearTime-overall-sd,Accelerometer wear time overall proportion variation,numeric,proportion of time
cutPointMVPA-overall-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity overall proportion average,numeric,proportion of time
cutPointMVPA-overall-sd,Accelerometer-derived cut-point-based moderate-vigorous physical activity overall proportion variation,numeric,proportion of time
cutPointVPA-overall-avg,Accelerometer-derived cut-point-based vigorous physical activity overall proportion average,numeric,proportion of time
cutPointVPA-overall-sd,Accelerometer-derived cut-point-based vigorous physical activity overall proportion variation,numeric,proportion of time
acc-week-avg,Acceleration week average,numeric,milligravity
wearTime-week-avg,Accelerometer wear time week proportion average,numeric,proportion of time
cutPointMVPA-week-avg,Accelerometer-derived cut-point-based moderate-vigorous physical activity week proportion average,numeric,proportion of time
cutPointVPA-week-avg,Accelerometer-derived cut-point-based vigorous physical activity week proportion average,numeric,proportion of time
acc-mon-avg,Acceleration Monday average,numeric,milligravity
acc-tue-avg,Acceleration Tuesday average,numeric,milligravity
acc-wed-avg,Acceleration Wednesday average,numeric,milligravity
acc-thu-avg,Acceleration Thursday average,numeric,milligravity
acc-fri-avg,Acceleration Friday average,numeric,milligravity
acc-sat-avg,Acceleration Saturday average,numeric,milligravity
acc-sun-avg,Acceleration Sunday average,numeric,milligravity
wearTime-mon-avg,Accelerometer wear time Monday proportion average,numeric,proportion of time
wearTime-tue-avg,Accelerometer wear time Tuesday proportion average,numeric,proportion of time
wearTime-wed-avg,Accelerometer wear time Wednesday proportion average,numeric,proportion of time
wearTime-thu-avg,Accelerometer wear time Thursday proportion average,numeric,proportion of time
